cardinal,birth_passage,century,source
"(19) 16. LUCHI, O.S.B.Cas., Michelangelo (1744-1802)","Birth. August 20 (1), 1744, Brescia. His last name is also listed as Lucchi.Education. Completed his first studies in Brescia. Entered the Order of St. Benedict in Montecassino, where he also professed.",nineteenth_century,fiu_scrape
"(23) 5. JACOBINI, Angelo","Birth. April 25, 1825, Genzano, diocese of Albano. Son of Vincenzo Jacobini and Giacinta Parri. He was baptized with the name Angelo Maria. Cousin of Cardinal Ludovico Jacobini (1879). His niece Eugenia married Marquis Giovanni Antonio Della Chiesa, brother of Pope Benedetto XV.Education. Seminary of ""S. Apollinare"", Rome; La Sapienza University, Rome. He obtained a doctorate in theology in 1846. He also studied utroque iure, both canon and civil law. Pontical Academy of Ecclesiastical Nobles, Rome (diplomacy).",nineteenth_century,fiu_scrape
"(2) 2. CORRER, Angelo (ca. 1325 (or 1335)-1417)","Birth. Ca. 1325 (or 1335), Venice. Of an ancient patrician family. Son of Niccoló di Pietro and Polissena (her last name is unknown). Uncle of Cardinal Antonio Correr, C.R.S.A. (1408). He was called the Cardinal of Constantinople.Education. Magister in theology.",fifteenth_century,fiu_scrape
"(10) 1. LA ROCHE-AYMON, Charles-Antoine de (1697-1777)","Birth. February 17, 1697, Castle of Mainsat, diocese of Limoges, France (1). Third of the three children of Renaud Nicolas, count de La Roche-Aymon, and Geneviève de Baudri de Piancourt. The other siblings were Paul-Philippe and Marie. His first name is also listed as Antonio Carlo.Education. Received his initial education in letters and humanities from private tutors; later, attended the Theological Faculty of Paris, where he obtained a doctorate in theology in April 1724.",eighteenth_century,fiu_scrape
"(47) 8. MADRUZZO, Cristoforo (1512-1578)","Birth. July 5, 1512, Madruzzo/Castel Nanno, diocese of Trent. Son of Giovanni Gaudenzio I di Madruzzo, baron of the Holy Roman Empire, and Eufemia von Sporenberg. His last name is also listed as Madruzzi, von Madrutz, von Madrutsch, and de Madruce. He was known with the appellative of Cardinal Tridentinus. Uncle of Cardinal Ludovico Madruzzo (1561). Grand-uncle of Cardinal Carlo Gaudenzio Madruzzo (1604).Education. Studied at the University of Padua (human letters, philosophy and theology); at the University of Bologna (jurisprudence, under the guidance of Ugo Buoncompagni, future Pope Gregory XIII); at the university he met future Cardinals Alessandro Farnese, iuniore, Otto Truchsess von Waldburg and Stanisław Hosius.",sixteenth_century,fiu_scrape
"(57) 12. ESTE, Rinaldo d' (1618-1672)","Birth. 1618, Modena. Of the dukes of Modena. Seventh of the fourteen children of Alfonso III, duke of Modena, and Princess Isabella of Savoy. The other children were Cesare (1609-1613; Francesco I Duke of Modena and Reggio (1610-1658); Obizzo (1611-1644), bishop of Modena (1640-1644); Cesare (1614-1677); Alessandro (1615-1615); Carlo Alessandro (1616-1679); Filiberto (1623-1645); Bonifazio (1624-1624); Caterina, a nun (1613-1628); Margherita (1619-1692), married Ferdinando III Gonzaga, Duke of Guastalla, in 1647; Beatrice (1620-1620); Beatrice (1622-1623); Anna Beatrice (1626-1690), married Alessandro II Pico della Mirandola in 1656. Uncle of Cardinal Rinaldo d'Este (1686). Other cardinals of the family are Ippolito I d'Este (1493); Ippolito II d'Este (1538); Luigi d'Este (1561); and Alessandro d'Este (1599). His first name is also listed as ReynardEducation. Studied in Modena.",seventeenth_century,fiu_scrape
"(48) 11. ARGENVILLIERS, Clemente (1687-1758)","Birth. December 30, 1687, Rome. From a very modest family of French origin (1). Son of Giovanni Battista Argenvilliers, consistorial advocate. His first name is also listed as Clemens.Education. Studied law in Rome.",eighteenth_century,fiu_scrape
"(30) 3. PAOLI, O.Carm., Angelo (1642-1720)","Birth. September 1, 1642, Argigliano, Tuscany, Italy, the son of Angelo Paoli and Santa Morelli. His baptismal name was Francesco. The parents were devout peasants and had seven children. As a young man he spent the greater part of his leisure time in teaching Catholic doctrine to the poor children of his village.Education. He attended the grammar school of Minucciano. Joined the Order of Our Lady of Mount Carmel (Carmelites) on November 27, 1660, at the convent of Cerignano, Fivizzano, together with his brother Tommaso; and made his novitiate at the convent of S. Nicola, Siena; he took the name Angelo; the following year, he emitted his solemn vows and went to to the convent of S, Maria del Carmine, Pisa, where he studied philosophy for five years; then, he studied theology at the Carmelite convent of Florence. He took his religious vows on December 18, 1661.",seventeenth_century,fiu_scrape
"(50) 17. VACHON, Louis-Albert","Birth. February 4, 1912, Saint-Frédéric-de-Beauce, archdiocese of Québec, Canada. The only boy of the family of six children of Napoléon Vachon and Alexandrine Gilbert.Education. Studied at the Minor Seminary of Québec (classics; bachelor of arts, 1934); then, at the Grand Seminary of Québec (theology); later, at the University of Laval, Québec, where he obtained a doctorate in philosophy in 1947; finally, at the Pontifical Angelicum Athenaeum, Rome, where he earned a doctorate in theology in 1949.",twentieth_century,fiu_scrape
"(8) 8. SALA, Giuseppe Antonio (1762-1839)","Birth. October 27, 1762, Rome.Education. Obtained a doctorate in theology in Rome (no further educational information found).",nineteenth_century,fiu_scrape
(1631-1693),"Birth. May 10, 1631, Siena. Son of Mario Chigi and Berenice della Ciaia, a noblewoman from Siena. Nephew of Pope Alexander VII. Uncle of Cardinal Antonfelice Zondadari (1712). Cousin of Cardinal Sigismondo Chigi (1667). Other cardinals of the family were Flavio Chigi, iuniore (1753); and Flavio III Chigi (1873).Education. Studied philosophy and law. Obtained a doctorate in utroque iuris, both canon and civil law.",seventeenth_century,fiu_scrape
"BALTHASAR, Hans Urs von","Birth. August 12, 1905, Lucerne, Switzerland. Of an old patrician family. Son of Oscar Ludwig Carl von Balthasar, the Lucerne canton builder, and Gabrielle Pietzcker, co-foundress and first general secretary of the Swiss League of Catholic Women. He had a sister, Renée, who was superior general of the Franciscan Sisters of Saint-Marie des Anges from 1971 to 1983; and a younger brother, Dieter, who served as an officer in the Swiss Guard. He was baptized and received first communion in the Franciscan church of Lucerne. He had an extraordinary talent for music and for a long time he wavered between musical and literary studies.Education. Initial studies at the Benedictine high school, Engelber, Switzerland; Jesuit high school, Feldkirch, Switzerland; left a year before graduating; the program in German studies, leading to a doctorate, consisted of nine study semesters alternating between three universities: University of Zürich, Switzerland; University of Vienna, Austria; and University of Berlin, Germany (dissertation: Geschichte des eschatologischen Problems in der moderners deutschen Literatur, 1930). In the summer of 1927, he attended a thirty-day retreat directed by Fr. Friedrich Krtonseder, S.J.; this was a decisive turning point in his life. Joined the Society of Jesus, October 31, 1929; novitiate at Feldkirch of the Jesuit Province of Southern Germany, November 18, 1929-1931; one of his classmates was Alois Grillmeier, future cardinal; philosophy at Berchmanskolleg, Pullach, Münich, 1931-1933; theology at Fourviere, Lyons, 1933-1937; he studied under Henri de Lubac, future cardinal (obtained licentiates in philosophy and theology).",twentieth_century,fiu_scrape
"(8) 2. ARCHINTO, Giovanni (1736-1799)","Birth. August 10, 1736, Milan. Second of the four children of Filippo Archinto, count of Tainate, and Giulia Borromeo-Arese. The other children were Carlo, Lodovico and Giulia. Great-grand-nephew of Cardinal Giuseppe Archinto (1699). Nephew of Cardinals Alberico Archinto (1756); and Vitaliano Borromeo (1766), on his mother's side.Education. Studied at the University of Pavia; and later at La Sapienza University, Rome, where he earned a doctorate in utroque iure, both canon and civil law, on July 27, 1759.",eighteenth_century,fiu_scrape
"(28) 28. PREYSING, Konrad von","Birth. August 30, 1880, castle of Kronwinkel, archdiocese of Münich and Freising, Germany, of a noble family. Son of Kaspar von Preysing and Hedwig von Walterskirchen. His baptismal name was Johann Konrad Maria Augustin Felix. His last name is also listed as von Preysing Lichtenegg-Moos. His brothers Albert and Joseph also entered the priesthood. Cousin of Cardinal Clemens August von von Galen (1946).Education. He studied at the Gymnasium of Langshut, Lanfshut; at the University of Münich from 1898 to 1901; at the University of Würzburg from 1901 to 1902; and at the Theological Faculty of Innsbruck from 1908 to 1913 (philosophy and theology; obtained a doctorate in theology in 1913).",twentieth_century,fiu_scrape
"(30) 22. VICH Y DE VALTERRA, Guillén-Ramón de (1460/1470-1525)","Birth. 1460/1470, Valencia. Of an illustrious family. Son of Luis de Vich y de Corbera, señor of the Valles de Gallinera y Ebo and mestre racional (general controller of accounts) of the kingdom of Valencia; and his third wife. His first names are also listed as Gualterio; as Gualtiero; as Guillermo; as Guillem; as Raymondo; and as Raimundo; and his last name as Vic; and as Vich y Vallterra.Education. (No information found).",sixteenth_century,fiu_scrape
"(20) 17. NAVAGERO, Bernardo (1507-1565)","Birth. 1507, Venice. Venetian patrician. Son of Gianluigi Navagero, Venetian patrician, and Lucrezia Agostini. Uncle of Cardinal Agostino Valier (1583) and grand-uncle of Cardinal Pietro Valier (1621).Education. Studied philosophy in Padua and Venice under Antonio Genova and Vincenzo Madio.",sixteenth_century,fiu_scrape
"(64) 3. FELICI, Angelo","Birth. July 26, 1919, Segni, Italy. Nephew of Ettore Felici, titular archbishop of Corinto, nuncio in Ireland.Education. Completed his primary and secondary studies in Segni; then, he attended the Pontifical Leonine College, Anagni, from 1934 until 1941, where he studied philosophy and theolgy; later, studied diplomacy at the Pontifical Ecclesiastical Academy, Rome, 1941 (after having received the subdiaconate); and finally, at the Pontifical Lateran Athenaeum, Rome; and at the Pontifical Gregorian University, Rome, where he earned a doctorate in canon law.",twentieth_century,fiu_scrape
"(66) 5. KRAJEWSKI, Konrad","Birth. November 25, 1963, Łódź, Poland. The father was a primary school teacher in Łódź; and the mother was a professor at the Lodz University of Technology. Both his parents as well as his older brother are deceased. He was baptized on April 5, 1964 in the Divine Providence parish in Łódź.Education. In 1982 he entered the Seminary of the Archdiocese of Łódź. He earned a degree in theology from the Catholic University of Lublin. He earned a Doctorate in Theology from the Pontifical University of S. Tommaso d'Aquina, Rome, in 1995 with a dissertation entitled L'ordinazione episcopale nella riforma del Concilio Vaticano II (""Episcopal ordination in the reform of Vatican II""). During his stay in Rome, he collaborated with the Office for the Liturgical Celebrations of the Supreme Pontiff.",twenty_first_century,fiu_scrape
"(4) 2. MAZIO, Raffaele (1765-1832)","Birth. October 24, 1765, Rome. Son of Giacomo Mazio, member of the Roman bourgeoisie, who worked in the upper level of the administration of the Papal States.Education. Collegio Romano, Rome, under Fr. Giuseppe Mazzolari, S.J., and Fr. Francesco Saverio Rezza, S.J.; he defended his thesis in theology, Argumenta ex theologia quæ honori Gullielmi Pallottæ cardinalis, amplissimi ad disputandum proposuit Raphael Matius, at S. Ignazio in 1785.",nineteenth_century,fiu_scrape
"(144) 7. ARAÚJO, Serafim Fernandes de","Birth. August 13, 1924, Minas Novas, diocese of Araçuaí, Brazil. Son of José Fernandes de Araújo and Gabriela Leite Araújo. He is the eldest of sixteen children.Education. Initial studies in 1937 at Coronel Jonas Câmara School, in Itamarandiba; in 1937, he entered the Seminary of Diamantina, where he obtained a licentiate in philosophy in 1944; then, he studied at the Pontifical Gregorian University, Rome from 1945, obtaining doctorates in theology in 1949; and in canon law in 1951.",twentieth_century,fiu_scrape
"(56) 11. ORSINI, Virginio (1615-1676)","Birth. January 17, 1615, palace of Montegiordano, Rome. Of an ancient and noble family. Of the dukes of Bracciano. Son of Ferdinando Orsini and Giustiniana Orsini, of the branch of Sangemini. He was baptized the following May 30 in the church of S. Eustachio. The family gave the church several popes and cardinals: Celestine III (1191-1198); Nicholas III (1277-1280); Benedict XIII (1724-1730); Matteo Orsini (1262); Latino Malabranca Orsini, O.P. (1278); Giordano Orsini (1278); Napoleone Orsini (1288); Francesco Napoleone Orsini (1295); Giovanni Gaetano Orsini (1316); Matteo Orsini, O.P. (1327); Rinaldo Orsini (1350); Giacomo Orsini (1371); Poncello Orsini (1378); Tommaso Orsini (1383?); Giordano Orsini, iuniore (1405); Latino Orsini (1448); Cosma Orsini, O.S.B. (1480); Giovanni Battista Orsini (1483); Franciotto Orsini (1517); Flavio Orsini (1565); Alessandro Orsini (1615); and Domenico Orsini d'Aragona (1743).Education. He received a literary education and composed verses.",seventeenth_century,fiu_scrape
"(8) 8. FERRARI, O.P., Tommaso Maria (1649-1716)","Birth. November 20, 1647, Maduria (now Casalnuovo). Youngest of the six children of Francesco Ferrari and Vittoria Bruni. His baptismal name was Pier Agostino. The other siblings were Alfonso, Giovanni, Vincenzo, Giovanna and Anna Lucrezia.Education. After initial studies under the guidance of paternal uncle and Father X. Troiani, O.P., he entered, when he was fifteen years old, the Order of Preachers (Dominicans) at the Convent of Ss. Rosario in Manduria, and he took the name Tommaso Maria. He moved to Lecce, in Puglia, to do the novitiate in the convent of Ss. Annunziata. During the first year, two of his brother, who had also joined the Dominican Order, died during the novitiate, his parents asked him to abandon the religious life and return home but he refused. In 1663, he took his religious vows and brilliantly finished his secondary education under the guidance of Father Giovanni Pietro Galatola. He expressed to his superiors his desire to attend the studies in theology in a monastery where the students of that faculty were not exempted from the exact observance of monastic discipline. Accordingly, Archbishop Gabriel Adarzo de Santander of Otranto obtained from the superiors permission for Tommaso Maria to enter the Dominican Convent of S. Maria della Sanità in Naples. There, under the guidance of Father Filippo Maria Tarantino, O.P., he gave such an early and brilliant demonstration of his erudition that in 1672, he was sent by the prior to comple the regular usual ratio studiorum in Rome, where the Superior General of the Dominican Order, Juan Tomás de Rocaberti, and a panel of theologians examined him long to finally appoint him lector of philosophy and theology.",seventeenth_century,fiu_scrape
"(2) 2. CONDULMER, Can. Reg. of Saint Augustine of S. Giorgio in Alga, Gabriele (ca. 1383-1447)","Birth. Ca. 1383 (1), Venice. His family was originally from Pavia. He was one of the four children of Angelo Condulmer and Beriola (Bertola or Beziola) Correr, sister of Pope Gregory XII. His last name is also listed as Condolmer, Condulmieri, Condulmaro, Condolmieri and Condulmerio. Cousin of Cardinal Antonio Correr, Can. Reg. of Saint Augustine of S. Giorgio in Alga (1408). Uncle of Cardinals Francesco Condulmer (1431) and Pietro Barbo (1440), future Pope Paul II. He was called the Cardinal of Siena.Education. Studied at the University of Padua.",fifteenth_century,fiu_scrape
"(73) 2. PELLEGRINETTI, Ermenegildo","Birth. March 27, 1876, Camaiore, archdiocese of Lucca, Italy.Education. Studied at the Seminary of Lucca; at the Pontifical Roman Academy of S. Tommaso d'Aquino, Rome; at the Pontifical Roman Athenaeum ""S. Apollinare"", Rome; and at the Vatican School of Paleogrophy and Diplomacy.",twentieth_century,fiu_scrape
"(90) 5. COFFY, Robert","Birth. October 24, 1920, Le Biot, diocese of Annecy, France. His father was a carpenter. His baptismal name was Robert-Joseph.Education. Studied at the Minor Seminary of Thonon; then, at the Major Seminary of Annecy; and finally, at the Catholic Faculty of Lyon.",twentieth_century,fiu_scrape
"(5) 4. PIATTI, Flaminio (1550 or 1552-1611)","Birth. July 11, 1552 (or toward 1550), Milan (or Turbigo). Of a patrician family. Son of Girolamo Piatti and Antonia Vicemale (or Vismara). He had several brothers: Ludovico (a physician and member of Collegio dei fisici of Milan; Ottavio (born in 1548, he entered the Society of Jesus, assuming the name Girolamo, and died in 1591); and Domizio (also a jesuit). His last name is also listed as Plato; and as Plattus. Related to Pope Gregory XIV (1590-1591).Education. Studied law and obtained a doctore in utroque iure, bot canon and civil law, at the University of Pavia.",sixteenth_century,fiu_scrape
"CROCE, B., Bernardino della (1502-1568)","Birth. 1502, Riva S. Vitale (Ticino), son of Giovan Antonio della Croce, castellano of Bellinzona until 1499.Education. Joined the Order of the Barnabites and studied in Rome.",sixteenth_century,fiu_scrape
"BAROZZI, Giovanni (ca. 1420-1466)","Birth. Ca. 1420, Venice. Son of Ludovico Barozzi and Polissena Moro. Nephew of Pope Paul II.Education. (No information found).",fifteenth_century,fiu_scrape
"(44) 5. PALLAVICINI, Lazzaro Opizio (1719-1785)","Birth. October 30, 1719, Genoa. Of a noble family. Youngest of the three children of Senator Paologirolamo Pallavicini and Giovanna Serra. The other siblings were Gianfrancesco and Giancarlo. Nephew of Quasi-cardinal Lazzaro Pallavicini (1740). Grand-nephew of Cardinal Opizio Pallavicini (1686).Education. Studied at Collegio Clementino, Rome, from 1732; and later at La Sapienza University, Rome, where he obtained a doctorate in utroque iure, both canon and civil law.",eighteenth_century,fiu_scrape
"(45) 11. CARRARA, Francesco (1716-1793)","Birth. November 1, 1716, Ghisalba, a few kilometers from Bergamo (1). From a noble and conspicuous family. Son of Count Carlo Carrara and Ana Maria Passi. His brother Giacomo was the founder of Accademia Carrara of Bergamo.Education. Initial studies in letters and philosophy at the Jesuit Collegio della Misericordia, Bergamo; then, he attended the University of Padua, where he obtained a doctorate in law; finally, he went to Collegio Cerasoli, in Rome, recently opened, to study theology; besides, he attended the Università degli studi, Rome; he also studied ecclesiastical history and Greek language and literature.",eighteenth_century,fiu_scrape
"(19) 19. ZERBA, Cesare","Birth. April 15, 1892, Castelnuovo Scrivia, diocese of Tortona, Italy.Education. Studied at the Seminary of Stazzano; at the Seminary of Tortona; at the Pontifical Roman Athenaeum ""S. Apollinare"", Rome; and at the University of Pavia.",twentieth_century,fiu_scrape
"(209) 8. SCOLA, Angelo","Birth. November 7, 1941, via Sant'Antonino, Malgrate, archdiocese of Milan, Italy. From a very poor family. Youngest of the two sons of Carlo Scola, a truck driver and a Socialist, and Regina Colombo, a housewife. The other child was Pietro, an elementary school teacher, who died in 1983. Besides his native Italian, he also speaks English, French, Spanish.Education. Elementary and middle school in Malgrate, then, he attended the classical lyceum Manzoni of Lecco from 1955 to 1959; in 1958, in Lecco, he met Father Luigi Giussani, founder of the movement Communione e Liberazione, who exercised a great influence in Angelo's life. After the maturità, he registered himself in engineering at Politecnico di Milano. Before entering the seminary, between 1965 and 1967, he taught in high school. Abandoning the engineering career, he studied at the Catholic University of the Sacred Heart, Milan, where he obtained a doctorate in philosophy; thesis on Christian philosophy, 1967; while studying at the Catholic University, in 1965, he became a member of the presidency of the Italian Catholic Universitary Federation (FUCI), a federation of Catholic Italian University student groups, called by Cardinal Giovanni Colombo; in Milan, he did various odd jobs, among them, working as a proofreader at Mondadori publishing house; but he was also was involved with Communione e Liberazione and met Don Luigi Giussani, its founder, and with him he decided to become a priest; he studied at the Seminary of Saronno, Milan (theology); then, at the Seminary of Venegono, Milan (theology); and finally, at the University of Fribourg, Switzerland, where he obtained a doctorate in theology, with a thesis on St. Thomas Aquinas.",twentieth_century,fiu_scrape
"(18) 3. PIERI, O.S.M., Pietro Maria (1676-1743)","Birth. September 29, 1676, in a small castle called Piancastagno, near Radicofani, Siena (1). Of an imporverished noble family. Son of Francesco Pieri and Elizabetta Maggiolini. He was baptized on October 1, 1676. His first name is also listed as Pier Maria.Education. During a visit to Piancastagno, Father Ponzoli, O.S.M., met young Pietro Maria and asked him to become a voluntary brother in the Order of the Servants of Mary (Servites), invitation that he quickly accepted; with the consensus of his parents, Pietro Maria went to Florence with Father Ponzoli and studied grammar; in 1691, when he turned fifteen years old, he received the religious habit in the convent della SS. Annunziata; two years later, when he finished the novitiate, he was sent to the convent of S. Marcello in Rome, where he continued his education, concluding his theological formation with a brilliant public dissertation; when he was twenty six, Pope Clement XI by a papal brief made him master in his order.",eighteenth_century,fiu_scrape
"(30) 15. ROBLES ORTEGA, Francisco","Birth. March 2, 1949, Mascota, diocese of Tepic, México. From a working-class family in Jalisco. Third of the sixteen children of Francisco Robles Arreola and Teresa Ortega de Robles.His first name is also listed as José Francisco.Education. Studied at the Minor Seminary of Autlán (humanities); then, at the Seminary of Guadalajara (philosophy); later, at the Seminario de Zamora (theology); and finally, at the Pontifical Gregorian University, Rome, 1976-1979 (licentiate in dogmatic theology).",twenty_first_century,fiu_scrape
"(20) 17. ANTONELLI, Niccolò Maria (1698-1767)","Birth. July 8, 1698, Pergola, diocese of Senigallia, dukedom of Urbino. From a family originally from Gubbio, which had been inscribed in 1622 in the register of the noble families of Senigallia. Second of the three children of Count Francesco Antonelli, governor of the fortress of Pergola, and Lucrezia Tafani. The other siblings were Filippo, iuniore, and Bonaventura. Uncle of Cardinal Leonardo Antonelli (1775). His first name is also listed as Nicola; and as Nicolao.Education. Intern at Collegio dei Nobili in Urbino, of the Fathers Scoloppini; he then studied at Collegio Nazareno, Rome, directed by the same priests, where he perfectly learned Greek and Latin; then, he passed to the study of Cardinal Carlo Agostino Fabroni, known as an excellent professor, under whom he studied law and theology in order to enter the service of the Apostolic See; later, he was secretary and aiutante di studio of Monsignor von Harrach, auditor of the Sacred Roman Rota for Germany. He also distinguished himself as a profound scholar of Oriental civilizations, especially Chaldean and Hebrew.",eighteenth_century,fiu_scrape
"(17) 12. PELLEVÉ, Nicolas de (1515-1594)","Birth. October 18, 1515, castle of Jouy, diocese of Paris, France (1). Of a noble family. Son of Charles Malherbe (2), signeur of Jouy and Ribets, and Hélène du Fay.Education. Studied law and Sacred Scriptures at the University of Bourges.",sixteenth_century,fiu_scrape
"(3) 2. SOUCHIER, O.Cist., Jérôme (1508-1571)","Birth. 1508, Auvergne (1), France. From a noble family.Education. Entered the Order of the Cistercians in the monastery of Montpeyroux, diocese of Clermont. Studied at Collège Cistercien, Paris (doctorates in philosophy and theology). Admitted among the theologians of La Sorbonne University, Paris.",sixteenth_century,fiu_scrape
"(37) 11. CUNHA E ATAÍDE, Nuno da (1664-1750)","Birth. December 8, 1664, Lisbon, Portugal. Youngest of the five children of Luis da Cunha e Ataíde, 7th senhor of Povolide, and Guiomar de Lancastre. His first name is also listed as Nonio; and as Nunius; and his last name as Acunha.Education. Studied at the University of Coimbra, where he obtained a master's of arts and licentiate in canon law.",eighteenth_century,fiu_scrape
"(38) 12. SCHRATTENBACH, Wolfgang Hanibal von (1660-1738)","Birth. September 12, 1660, Lemberg, diocese of Gürk, Austria. Of the family of the dukes of Schrattenbach. He was baptized on that same day. Nephew of Cardinal Maximilian Gandolph von Künburg (1686). His first name is also listed as Volfango Annibale; and his last name as Schrottenbach.Education. Studied at Seminario Romano, Rome; at Collegio Germanico, Rome; and at La Sapineza University, Rome, where he earned doctorates in philosophy and theology on December 12, 1682.",eighteenth_century,fiu_scrape
"(2) 1. CAETANI, Enrico (1550-1599)","Birth. August 6, 1550, Sermoneta. Roman noble and Neapolitan patrician. Second child of Bonifacio Caetani, signore of Sermoneta, and Caterina Pio di Carpi. Descendant of the family of Pope Boniface VIII. Nephew of Cardinal Niccolò Caetani (1536). Uncle of Cardinals Bonifacio Caetani (1606) and Antonio Caetani (1621). Grand-uncle of Cardinal Luigi Caetani (1626). Another member of the family was Cardinal Antonio Caetani (1402).Education. Studied at the University of Perugia, where he obtained a doctorate in utroque iure, both canon and civil law, in 1571.",sixteenth_century,fiu_scrape
